Genes,ccd,ccd,ccd
PINK1_HUMAN,6.737037742,6.783461469,6.7398191
CDC73_HUMAN,6.461249227,6.821374549,6.603380995
B3GT2_HUMAN,3.555506503,3.69397594,3.607329065
LRC40_HUMAN,5.307394649,5.065016442,5.266425551
AN13C_HUMAN,5.244571276,5.065016442,5.19915573
CGL_HUMAN,2.058078915,2.432711588,2.792212717
E2F2_HUMAN,-0.340850857,-0.340850857,-0.340850857
ID3_HUMAN,8.590623662,8.399606489,8.645994576
RL11_HUMAN,9.372125454,9.351475777,9.331663418
PITH1_HUMAN,5.291943411,5.266923,5.298919648
LYPA2_HUMAN,5.212103,4.872072638,5.266425551
GALE_HUMAN,2.548851742,1.724146699,2.697892218
DUS23_HUMAN,3.138254159,3.69397594,3.554479343
CFA45_HUMAN,1.039210356,-0.340850857,-0.340850857
AT1A1_HUMAN,6.987780539,7.325942118,7.135793531
ZBT41_HUMAN,6.221335462,6.451737441,6.200866681
EFNA4_HUMAN,2.058078915,2.316153655,2.371109553
EFNA3_HUMAN,0.276696563,0.273361542,1.346588607
EFNA1_HUMAN,1.535449415,-0.340850857,1.073627923
SWET1_HUMAN,4.242510731,4.469943248,4.612480248
KTAP2_HUMAN,-0.340850857,1.03330744,0.736681169
TSP3_HUMAN,1.308561741,2.050305593,2.243366637
SCAM3_HUMAN,4.506232312,4.296208393,4.389230572
CLK2_HUMAN,4.176730561,3.546554987,4.389230572
HCN3_HUMAN,0.707754626,1.03330744,1.073627923
6PGD_HUMAN,5.521261381,5.457831606,5.549041091
CENPS_HUMAN,3.270269458,3.439178937,3.607329065
DFFA_HUMAN,6.397706416,6.336769055,6.38618398
RUXE_HUMAN,6.119976033,6.127881486,5.86338164
ASM3B_HUMAN,-0.340850857,-0.340850857,-0.340850857
XKR8_HUMAN,3.205771307,2.905793422,3.93131984
FA89A_HUMAN,3.391210818,2.540552476,3.188847197
CA131_HUMAN,4.79636335,4.356474789,4.935436376
TOE1_HUMAN,2.324234228,1.724146699,2.596971191
TESK2_HUMAN,0.707754626,1.302030179,0.736681169
CC163_HUMAN,-0.340850857,0.273361542,1.073627923
MMAC_HUMAN,3.502793157,3.32316388,3.043004563
ACM3_HUMAN,0.276696563,-0.340850857,1.073627923
F102B_HUMAN,2.831311907,2.540552476,2.880743328
HENMT_HUMAN,1.535449415,1.302030179,1.947944625
PR38B_HUMAN,7.401772661,6.909502537,7.248222912
STXB3_HUMAN,5.291943411,5.235173744,5.377090317
KISHB_HUMAN,6.426293722,6.259964536,6.234853778
RT29_HUMAN,6.787492307,6.863517834,6.891348055
SYT11_HUMAN,6.390470194,6.145068474,6.121335421
KHDC4_HUMAN,4.942063148,4.233314293,5.233182686
SSRB_HUMAN,8.032927222,7.902232094,7.954409393
UBQL4_HUMAN,1.308561741,1.724146699,1.346588607
RAB25_HUMAN,-0.340850857,-0.340850857,-0.340850857
SMG5_HUMAN,2.992930665,2.540552476,2.596971191
TMM79_HUMAN,0.707754626,1.03330744,0.736681169
TCPG_HUMAN,7.440827086,7.438261158,7.420548958
MEX3A_HUMAN,3.919551258,3.646489942,3.801263664
CP4X1_HUMAN,-0.340850857,-0.340850857,-0.340850857
PDZ1I_HUMAN,-0.340850857,-0.340850857,-0.340850857
IGSF3_HUMAN,-0.340850857,-0.340850857,-0.340850857
GLNA_HUMAN,5.623557992,5.732546614,5.62789571
COA6_HUMAN,5.144888518,4.872072638,4.955958374
ELYS_HUMAN,4.860615825,5.266923,5.015828906
FRRS1_HUMAN,2.324234228,1.896423676,2.697892218
LEPR_HUMAN,5.79776731,5.251135708,5.46562598
PSMD4_HUMAN,7.954133381,7.966485021,7.870416693
TAGL2_HUMAN,10.53894918,10.60272498,10.67165574
PEA15_HUMAN,9.636556423,9.654983974,9.503571862
G6PE_HUMAN,5.467257821,5.511828852,5.451242222
FOXD2_HUMAN,1.039210356,0.273361542,1.346588607
OST48_HUMAN,5.882736393,6.047900929,6.130391853
SIAT6_HUMAN,1.731456765,2.050305593,2.103204187
ZN692_HUMAN,2.649276492,2.540552476,2.243366637
FGGY_HUMAN,3.270269458,1.724146699,2.243366637
DISC1_HUMAN,2.058078915,2.640889929,2.880743328
PXL2B_HUMAN,3.748981272,4.062924054,3.889257149
DPM3_HUMAN,4.839514696,5.009793423,4.893495293
K2013_HUMAN,6.908944442,6.733204653,6.92296413
PLOD1_HUMAN,7.020961381,6.657373814,6.974165008
MIIP_HUMAN,2.74316339,2.734700525,2.697892218
RBBP4_HUMAN,5.480949404,5.065016442,5.407209954
SYNCI_HUMAN,6.338774149,6.211839288,6.017771533
K1522_HUMAN,2.197285588,1.724146699,2.488455847
S1PBP_HUMAN,5.212103,5.297988572,4.612480248
TMM54_HUMAN,2.992930665,2.640889929,3.188847197
